Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 45.48     15.56    15.56   127165     0.00     0.00  std::string* std::__copy_move<true, false, std::random_access_iterator_tag>::__copy_m<std::string*, std::string*>(std::string*, std::string*, std::string*)
 29.17     25.55     9.98 4196290865     0.00     0.00  std::remove_reference<std::string&>::type&& std::move<std::string&>(std::string&)
  9.18     28.69     3.14   520680     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::end()
  4.09     30.09     1.40   133184     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  3.33     31.23     1.14 326423134     0.00     0.00  __gnu_cxx::__enable_if<std::__is_char<char>::__value, bool>::__type std::operator==<char>(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  2.75     32.17     0.94 652846268     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::operator[](unsigned long)
  2.54     33.04     0.87        1     0.87    30.69  DelSimEl()
  1.78     33.65     0.61 326435247     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::size() const
  0.35     33.77     0.12   786432     0.00     0.00  std::vector<int, std::allocator<int> >::clear()
  0.20     33.84     0.07  2359296     0.00     0.00  std::vector<int, std::allocator<int> >::insert(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.18     33.90     0.06        1     0.06     3.53  FindMatchIndexes()
  0.09     33.93     0.03  7997625     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.09     33.96     0.03   786432     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
