Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 46.19     11.90    11.90   127165     0.00     0.00  std::string* std::__copy_move<true, false, std::random_access_iterator_tag>::__copy_m<std::string*, std::string*>(std::string*, std::string*, std::string*)
 24.96     18.33     6.43 4196290865     0.00     0.00  std::remove_reference<std::string&>::type&& std::move<std::string&>(std::string&)
 11.31     21.25     2.92   520680     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::end()
  3.77     22.22     0.97   133184     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  3.45     23.11     0.89 652846268     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::operator[](unsigned long)
  3.42     23.99     0.88 326423134     0.00     0.00  __gnu_cxx::__enable_if<std::__is_char<char>::__value, bool>::__type std::operator==<char>(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  3.07     24.78     0.79        1     0.79    22.83  DelSimEl()
  1.90     25.27     0.49 326435247     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::size() const
  0.47     25.39     0.12   786432     0.00     0.00  std::vector<int, std::allocator<int> >::clear()
  0.19     25.44     0.05   786431     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.16     25.48     0.04 24767877     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.08     25.50     0.02  6292008     0.00     0.00  std::vector<int, std::allocator<int> >::end()
